subject,send_date,open_rate,click_rate,list_segment
"5 ways to boost your productivity",2024-11-01,0.32,0.08,general
"How I doubled my output in 30 days",2024-11-03,0.38,0.12,engaged
"Quick tip: The 2-minute rule",2024-11-05,0.29,0.06,general
"🚀 New feature alert!",2024-11-07,0.41,0.15,engaged
"Your weekly digest",2024-11-08,0.22,0.04,general
"Why most productivity advice fails",2024-11-10,0.35,0.09,general
"[Case Study] From chaos to clarity",2024-11-12,0.33,0.11,engaged
"3 tools I can't live without",2024-11-14,0.36,0.10,general
"The hidden cost of multitasking",2024-11-16,0.28,0.07,general
"🎉 Special offer inside",2024-11-18,0.44,0.18,engaged
"What successful people do differently",2024-11-20,0.31,0.08,general
"I made a mistake (and here's what I learned)",2024-11-22,0.42,0.14,engaged
"Quick question for you",2024-11-24,0.39,0.11,general
"The simple hack that changed everything",2024-11-26,0.34,0.09,general
"📊 Your November stats",2024-11-28,0.26,0.05,general
"Why I almost quit (and didn't)",2024-11-30,0.40,0.13,engaged
"5 minutes to a better morning",2024-12-02,0.33,0.08,general
"The counterintuitive truth about focus",2024-12-04,0.30,0.07,general
"🎁 Holiday special for you",2024-12-06,0.45,0.19,engaged
"Don't read this if you're busy",2024-12-08,0.37,0.10,general
